,Country,January,February,March,April,May,June,July,August,September,October,November,December,Total,Percentage,Previous Total,Growth Rate
0,T O T A L,"620,121","569,361","556,906","551,497","520,780","462,729","551,638","535,076","472,766","513,638","522,723","603,062",6480297.0,97.88,"5,776,582",12.18
1,Overseas Filipinos,"11,518","9,817","17,159","13,601","11,977","12,125","16,397","10,178","7,037","9,989","10,503","10,310",140611.0,2.12,"190,423",-26.16
2,South Korea,"154,367","150,685","135,813","117,074","128,691","108,455","132,135","141,869","123,834","139,218","125,583","150,097",1607821.0,24.28,"1,475,081",9.00
3,China,"85,948","78,251","76,155","74,893","73,649","66,066","90,763","95,687","79,463","89,932","79,307","78,333",968447.0,14.63,"675,663",43.33
4,Usa,"99,435","80,463","78,199","87,614","83,056","84,676","86,017","61,415","56,827","67,567","74,704","97,840",957813.0,14.47,"869,463",10.16
5,Japan,"51,516","53,957","60,778","44,872","44,696","38,261","47,377","64,114","46,553","38,733","44,952","48,371",584180.0,8.82,"535,238",9.14
6,Australia,"27,826","20,157","18,824","26,447","19,560","18,178","19,985","16,016","19,858","19,592","21,269","31,721",259433.0,3.92,"251,098",3.32
7,Taiwan,"21,926","20,472","22,498","21,318","22,429","18,374","20,451","19,993","17,112","21,241","16,052","14,911",236777.0,3.58,"229,303",3.26
8,Canada,"24,352","19,016","17,470","19,755","16,794","10,856","15,159","11,057","10,686","13,080","17,344","25,071",200640.0,3.03,"175,631",14.24
9,United Kingdom,"15,747","15,226","16,380","20,835","14,224","11,237","17,254","14,105","10,860","12,695","14,818","19,327",182708.0,2.76,"173,299",5.43
10,Singapore,"12,000","13,309","15,086","13,895","15,895","15,022","12,535","13,726","13,974","13,597","14,752","14,846",168637.0,2.55,"176,057",-4.21
11,Malaysia,"10,215","11,335","12,861","12,839","13,328","11,633","10,632","12,336","11,541","12,435","12,852","11,559",143566.0,2.17,"139,133",3.19
12,Hong Kong,"10,006","8,170","7,746","12,260","9,280","8,191","9,810","9,026","9,187","9,226","9,186","9,047",111135.0,1.68,"116,328",-4.46
13,India,"11,805","7,621","7,479","8,842","9,928","8,988","9,637","8,081","8,389","8,062","10,256","8,190",107278.0,1.62,"90,816",18.13
14,Germany,"8,917","10,003","10,381","8,296","5,887","4,513","6,008","5,495","4,624","5,982","6,492","8,833",85431.0,1.29,"86,363",-1.08
15,France,"7,459","8,498","7,757","7,563","4,676","2,937","4,555","3,775","2,918","3,913","4,655","6,071",64777.0,0.98,"55,384",16.96
16,Indonesia,"4,138","4,517","4,624","5,572","5,045","4,317","4,887","4,816","8,581","5,073","5,939","5,414",62923.0,0.95,"44,348",41.88
17,Residences,"6,523","7,056","5,914","5,365","4,605","3,715","4,072","3,828","3,862","4,666","6,188","6,160",61954.0,0.94,"57,226",8.26
18,Saudi Arabia,"5,020","4,051","4,341","4,820","3,096","3,228","8,227","7,155","4,658","3,933","4,120","2,067",54716.0,0.83,"56,081",-2.43
19,Thailand,"3,644","3,638","4,173","4,926","4,334","3,279","3,671","4,008","4,145","4,530","4,768","3,611",48727.0,0.74,"47,913",1.70
20,Vietnam,"3,767","3,536","3,014","4,023","3,966","3,597","3,003","2,776","2,798","2,801","3,652","3,018",39951.0,0.60,"33,895",17.87
21,Spain,"3,368","2,876","2,719","3,612","2,285","2,205","3,572","3,967","2,198","2,760","3,534","3,858",36954.0,0.56,"32,097",15.13
22,Guam,"2,608","2,536","2,390","2,872","2,865","4,096","4,222","2,670","2,850","2,912","3,316","3,300",36637.0,0.55,"38,777",-5.52
23,Netherlands,"3,852","3,038","2,854","3,337","2,738","2,020","3,224","2,135","1,897","2,105","3,066","3,555",33821.0,0.51,"31,876",6.10
24,Russian Federation,"4,990","4,522","3,979","2,709","1,766","1,399","1,380","1,256","1,438","2,554","3,198","4,088",33279.0,0.50,"28,210",17.97
25,Italy,"3,454","3,150","2,897","2,887","1,931","1,710","2,363","2,695","1,520","1,744","2,357","3,729",30437.0,0.46,"25,945",17.31
26,Switzerland,"3,329","3,244","2,791","3,547","2,098","1,392","2,375","1,448","1,497","2,141","2,382","3,593",29837.0,0.45,"29,420",1.42
27,New Zealand,"2,705","1,843","2,057","2,813","2,240","2,105","2,649","1,880","2,106","2,196","2,482","3,907",28983.0,0.44,"23,431",23.70
28,Sweden,"4,029","3,786","2,831","2,285","1,407","1,898","1,553",906,"1,076","1,416","2,202","4,314",27703.0,0.42,"26,062",6.30
29,Norway,"2,109","1,930","1,635","1,956","1,210","2,676","2,800","1,094","1,066","1,342","1,503","2,569",21890.0,0.33,"21,606",1.31
30,Denmark,"2,511","2,764","1,669","1,948","1,064","1,169","1,457",850,918,"1,069","1,284","1,742",18445.0,0.28,"18,049",2.19
31,Ireland,"1,545","1,147","1,421","1,722","1,422","2,095","2,150","1,231","1,020","1,150","1,185","1,963",18051.0,0.27,"16,557",9.02
32,Israel,"2,000","1,919","1,596","2,043","1,179",748,"1,006",966,"1,491","1,487","1,333","1,678",17446.0,0.26,"16,725",4.31
33,United Arab Emirates,"1,077","1,130","1,733","1,503","1,383","1,367","1,602","1,457","1,223","1,224","1,274","1,426",16399.0,0.25,"17,634",-7.00
34,Belgium,"1,328","1,173","1,414","1,594","1,047","1,167","2,101","1,010",865,"1,020","1,248","1,736",15703.0,0.24,"14,477",8.47
35,Austria,"1,647","1,631","1,309","1,222",803,755,"1,503",834,595,821,950,"1,454",13524.0,0.20,"13,087",3.34
36,Commonwealth of Independent States,"1,216",935,"1,157",843,692,731,757,756,802,830,"1,030","1,059",10808.0,0.16,"10,342",4.51
37,Poland,"1,458","1,682","1,417","1,002",641,410,493,410,500,627,"1,168",978,10786.0,0.16,"8,893",21.29
38,Myanmar,659,620,836,848,783,757,852,906,818,819,990,683,9571.0,0.14,"7,442",28.61
39,Macau,760,705,702,911,948,640,813,669,680,799,728,756,9111.0,0.14,"9,247",-1.47
40,Brunei,706,544,978,831,670,636,598,718,783,583,725,907,8679.0,0.13,"8,211",5.70
41,Turkey,974,798,975,573,600,565,646,732,559,559,759,668,8408.0,0.13,"7,884",6.65
42,Papua New Guinea,890,448,535,705,652,695,650,650,711,687,700,787,8110.0,0.12,"7,738",4.81
43,Kuwait,756,559,617,753,661,640,873,837,668,575,650,493,8082.0,0.12,"6,649",21.55
44,Finland,"1,014",922,662,637,472,531,242,240,312,391,616,919,6958.0,0.11,"6,318",10.13
45,South Africa,587,399,471,670,462,446,546,417,450,496,497,"1,030",6471.0,0.10,"5,117",26.46
46,Brazil,719,592,568,650,619,341,357,389,339,371,482,687,6114.0,0.09,"4,520",35.27
47,Mexico,366,309,268,362,315,298,333,270,354,414,820,"1,635",5744.0,0.09,"2,924",96.44
48,Sri Lanka,469,433,467,443,477,380,412,528,463,411,440,420,5343.0,0.08,"5,410",-1.24
49,Nepal,296,247,608,798,778,308,346,410,227,227,498,585,5328.0,0.08,"3,449",54.48
50,Cambodia,223,374,294,501,347,305,358,411,447,494,574,384,4712.0,0.07,"3,526",33.64
