,Country,February,March,April,May,June,July,August,September,October,November,December,Total,Percentage
0,GRAND TOTAL,"47,715","117,150","188,574","206,393","254,309","295,650","263,529","246,898","274,803","324,610","434,227",2653858.0,100.00%
1,TOTAL FOREIGN TOURIST,"26,306","69,639","115,515","124,934","153,503","232,317","218,051","207,224","227,677","275,901","374,346",2025413.0,76.32%
2,TOTAL OVERSEAS FILIPINOS *,"21,409**",47511**,73059**,81459**,100806**,"63,333","45,478","39,674","47,126","48,709","59,881",628445.0,23.68%
3,Usa,"1,779","26,045","36,188","40,657","48,797","55,054","44,491","45,701","53,866","58,926","93,585",505089.0,19.03%
4,South Korea,"10,176","4,829","10,206","15,624","25,111","55,054","55,573","43,695","49,065","64,882","93,799",428014.0,16.13%
5,Australia,"2,469","4,432","9,937","8,869","10,074","13,312","11,928","14,596","14,746","16,380","31,231",137974.0,5.20%
6,Canada,"1,587","5,343","8,851","9,200","7,702","11,623","10,592","12,197","14,381","17,416","22,521",121413.0,4.57%
7,United Kingdom,"1,952","5,426","7,491","7,202","7,205","13,576","10,588","8,349","10,463","11,510","17,272",101034.0,3.81%
8,Japan,824,"2,310","5,838","5,203","6,775","11,596","13,860","11,786","11,509","14,144","15,712",99557.0,3.75%
9,Singapore,-,"1,354","2,758","3,640","4,682","5,423","5,835","6,621","6,122","8,928","8,085",53448.0,2.01%
10,India,487,-,"1,800","2,739","4,332","8,013","7,977","8,103","5,755","6,641","5,695",51542.0,1.94%
11,Malaysia,"1,193","1,142","2,243","2,693","3,597","5,051","5,580","5,902","5,616","6,781","7,007",46805.0,1.76%
12,China,365,-,"1,834","2,245","3,170","4,596","5,015","5,376","4,658","6,131","6,237",39627.0,1.49%
13,Germany,291,"2,404","3,066","2,686","2,548","3,720","3,893","3,462","4,454","5,686","6,803",39013.0,1.47%
14,Vietnam,412,"2,889","3,457","3,046","3,118","4,499","4,494","4,401","4,032","4,332","3,925",38605.0,1.45%
15,Indonesia,232,909,"1,403","1,316","1,597","2,365","3,827","3,972","3,022","3,070","2,883",24596.0,0.93%
16,France,-,"1,328","2,035","1,593","1,314","2,719","2,462","1,752","2,880","3,709","4,157",23949.0,0.90%
17,Taiwan,-,-,898,831,"1,199","2,264","2,853","2,332","3,101","4,030","6,096",23604.0,0.89%
18,Netherlands,365,972,"1,388","1,376","1,262","2,651","1,765","1,637","2,092","2,719","3,079",19306.0,0.73%
19,Spain,870,672,"1,230","1,061","1,176","2,280","2,809","1,632","1,948","2,824","2,692",19194.0,0.72%
20,New Zealand,180,430,904,988,"1,250","1,768","1,569","1,834","1,984","2,264","4,332",17503.0,0.66%
21,Thailand,190,397,733,886,"1,340","2,010","2,035","1,876","2,383","2,404","2,046",16300.0,0.61%
22,Italy,173,536,862,799,948,"1,450","1,455","1,046","1,252","1,792","2,620",12933.0,0.49%
23,Ireland,116,754,874,816,"1,558","1,531",995,905,"1,021","1,188","2,251",12009.0,0.45%
24,Norway,257,580,737,608,"1,944","1,979",804,811,"1,029","1,177","2,078",12004.0,0.45%
25,Switzerland,167,608,"1,070",782,594,"1,489",708,886,"1,256","1,431","2,101",11092.0,0.42%
