Country,January,February,March,April,May,June,July,August,September,October,November,December
South Korea,"179,900","180,890","158,794","130,707","138,239","157,495","167,249","185,334","152,184","158,380","176,185","203,965"
China,"131,196","174,175","158,433","139,177","130,788","132,792","171,848","170,903","150,505","139,707","126,785","117,000"
Usa,"109,342","94,632","89,806","87,710","90,979","96,735","93,912","68,418","61,085","79,716","82,617","109,488"
Japan,"47,567","64,365","65,837","57,724","46,495","44,919","55,727","78,699","56,878","51,414","53,784","59,379"
Taiwan,"21,804","30,648","25,456","25,441","25,637","30,546","32,663","32,676","27,707","29,642","23,350","21,703"
Australia,"29,929","21,571","21,647","28,683","22,021","19,163","21,364","17,347","21,346","23,096","23,068","36,935"
Canada,"28,144","22,272","21,936","22,309","19,944","13,765","17,630","13,664","12,006","16,124","20,405","30,651"
United Kingdom,"18,184","16,999","18,219","22,578","16,934","13,759","18,698","15,753","12,157","15,673","18,210","22,042"
Singapore,"11,904","12,321","15,259","11,877","13,590","16,200","12,910","12,217","12,276","12,287","14,738","13,016"
Malaysia,"11,516","12,862","13,273","11,071","13,422","12,163","10,508","9,889","11,374","9,541","13,531","10,732"
India,"15,182","11,007","10,086","9,986","11,275","11,352","11,495","11,307","10,777","9,780","13,357","9,359"
Germany,"11,081","11,569","11,075","9,485","6,917","5,195","6,857","6,512","5,732","7,698","8,862","12,773"
Hong Kong,"6,977","9,645","6,672","7,539","6,569","7,154","7,923","6,551","6,703","7,486","7,970","10,464"
France,"9,285","12,934","10,714","10,380","5,882","3,765","5,564","5,638","3,903","5,640","6,999","7,873"
Residences,"9,055","9,306","8,615","7,014","5,648","5,814","6,214","5,381","5,532","6,217","9,155","8,848"
Indonesia,"6,811","6,717","6,658","4,892","5,755","6,524","5,353","4,533","5,194","4,051","7,794","6,537"
Vietnam,"3,849","5,969","4,899","5,152","5,757","7,349","6,174","4,930","5,082","5,155","5,980","6,402"
Thailand,"4,518","4,891","5,115","5,283","5,040","4,432","4,880","4,543","4,609","5,583","6,620","5,778"
Spain,"3,952","3,659","3,552","4,341","2,965","2,894","5,202","6,610","2,901","3,587","5,409","4,676"
Saudi Arabia,"3,316","3,354","3,730","2,683","1,165","7,220","5,604","4,534","3,288","3,609","3,432","1,813"
Netherlands,"3,890","3,703","3,942","3,567","3,181","2,462","4,196","2,466","2,289","2,887","4,182","4,548"
Italy,"4,199","4,015","3,670","3,555","2,263","2,014","2,763","3,148","1,971","2,752","3,387","5,214"
New Zealand,"3,496","2,300","2,627","3,770","3,026","2,782","3,193","2,488","2,870","3,189","3,257","4,874"
Russian Federation,"4,590","4,597","4,339","2,997","2,156","1,560","1,352","1,429","1,820","2,464","4,349","4,458"
Switzerland,"3,149","3,365","2,775","3,557","2,003","1,349","2,329","1,373","1,467","2,051","2,574","3,974"
Sweden,"3,341","3,602","2,727","2,140","1,372","2,023","1,797",914,"1,078","1,547","2,091","5,260"
Norway,"2,031","2,073","1,649","1,832","1,183","3,010","3,364","1,188","1,030","1,341","1,597","3,166"
Israel,"2,600","2,633","2,064","2,506","1,590",932,"1,318","1,572","1,933","1,954","1,662","2,087"
Ireland,"1,741","1,478","1,672","2,192","1,719","2,210","2,325","1,391","1,267","1,680","1,460","2,340"
Guam,"1,806","1,850","1,801","1,401","1,680","2,367","2,235","1,226",818,"1,540","1,667","1,444"
Belgium,"1,585","1,513","1,699","1,967","1,271","1,523","2,316","1,175","1,060","1,320","1,642","2,085"
Denmark,"2,130","2,220","1,629","1,785","1,237","1,077","1,643",867,928,"1,200","1,524","2,295"
Poland,"2,078","2,200","1,818","1,403",823,565,625,547,606,"1,059","2,444","1,648"
Austria,"1,761","1,712","1,390","1,176","1,019",875,"1,284",843,724,984,"1,130","1,942"
Myanmar,843,900,"1,086","1,024","1,188","1,007","1,098","1,068",981,"1,346","1,764","1,673"
Commonwealth Of Independent States,"1,360","1,099","1,025",912,837,775,793,802,872,879,"1,135","1,559"
