Country,January,February,March,April,May,June,July,August,September,October,November
South Korea,"161,920","132,732","100,410","73,278","84,588","87,728","118,356","118,681","78,009","90,251","88,155"
Usa,"110,442","96,660","78,872","75,202","81,957","101,063","87,565","58,597","54,017","71,370","79,090"
Japan,"31,340","43,907","49,899","31,449","33,164","27,669","36,598","55,104","35,446","29,214","33,004"
Australia,"33,958","22,996","23,597","31,334","23,134","20,960","23,029","17,225","21,748","25,442","25,469"
China,"30,924","22,326","19,417","19,994","21,837","19,087","25,557","23,088","20,510","25,411","20,188"
Canada,"30,495","25,985","21,052","21,762","20,892","15,415","20,198","16,701","14,831","19,830","23,348"
Taiwan,"24,347","15,923","14,172","15,154","14,089","15,674","19,660","18,251","12,692","18,130","14,572"
United Kingdom,"16,747","14,812","16,171","18,310","14,413","10,854","14,517","11,456","9,138","11,656","14,270"
Singapore,"11,718","11,651","15,032","11,608","13,763","14,569","11,761","12,337","12,935","12,316","13,401"
Malaysia,"7,806","8,771","7,584","6,870","8,393","8,500","6,961","7,825","8,482","7,583","8,367"
India,"7,800","7,300","6,733","7,060","6,430","7,016","8,594","7,730","7,657","8,621","10,944"
Germany,"9,768","9,601","9,794","7,964","5,197","3,190","4,715","5,074","3,976","5,501","8,468"
Hong Kong,"8,740","5,079","5,682","8,041","6,386","6,153","6,267","5,957","5,115","6,591","5,868"
France,"9,379","10,937","8,746","7,643","4,504","2,437","4,218","3,811","2,303","3,976","6,189"
Spain,"4,411","3,668","3,893","4,035","2,870","2,979","4,925","6,405","2,654","3,234","5,518"
Thailand,"3,322","3,723","3,856","4,636","3,980","3,866","3,805","3,910","4,222","4,247","3,891"
Indonesia,"3,881","4,121","3,694","3,596","3,364","4,286","3,911","3,589","3,759","4,347","4,869"
Guam,"2,909","2,763","2,897","2,764","3,485","4,542","4,368","2,912","2,593","3,522","3,303"
Netherlands,"4,438","3,871","3,748","3,599","2,993","1,826","4,204","1,994","1,622","2,342","3,602"
United Arab Emirates,"2,705","2,718","4,030","2,804","3,002","2,876","3,271","2,945","2,660","2,891","2,965"
Vietnam,"3,152","2,965","2,450","2,573","3,343","3,244","2,901","2,609","2,407","2,414","2,592"
Italy,"4,374","3,823","3,167","3,469","1,556","1,750","2,281","3,367","1,542","1,891","3,377"
Russian Federation,"4,510","4,092","3,402","2,232","1,593","1,035",978,"1,078","1,103","2,579","4,858"
New Zealand,"3,304","2,204","2,218","2,728","2,552","2,577","2,122","1,680","2,004","2,301","2,909"
Switzerland,"3,078","3,188","2,803","3,179","1,738","1,007","2,083",980,"1,287","1,702","2,873"
Israel,"2,736","2,655","2,410","2,621","1,760",828,"1,499","1,145","2,207","2,054","1,845"
Saudi Arabia,"1,695","1,516","1,234","1,923","1,792","2,248","2,268","1,781","1,843","1,937","1,779"
Poland,"3,398","3,709","2,343","1,246",746,453,713,676,945,"1,060","3,286"
Norway,"2,002","1,730","1,506","1,285",970,"3,132","3,131",836,864,"1,082","1,414"
United States Minor Outlying Islands,"1,433","1,431","1,377","1,502","1,640","1,584","1,442","1,205","1,251","1,490","1,708"
Ireland,"1,631","1,238","1,456","1,694","1,462","2,189","1,674",939,952,"1,335","1,274"
Sweden,"2,421","2,270","1,819","1,265",851,"1,648","1,406",607,695,"1,059","1,620"
