Country,Total,Percentage,Previous Total,Growth Rate
South Korea,338877.0,22.86,1989322.0,-82.97
Usa,211816.0,14.29,1064440.0,-80.1
China,170432.0,11.5,1743309.0,-90.22
Japan,136664.0,9.22,682788.0,-79.98
Australia,55330.0,3.73,286170.0,-80.67
Canada,55273.0,3.73,238850.0,-76.86
Taiwan,48644.0,3.28,327273.0,-85.14
United Kingdom,39980.0,2.7,209206.0,-80.89
India,29014.0,1.96,134963.0,-78.5
Germany,25893.0,1.75,103756.0,-75.04
Residences,25590.0,1.73,86799.0,-70.52
France,24530.0,1.65,88577.0,-72.31
Malaysia,23359.0,1.58,139882.0,-83.3
Singapore,19998.0,1.35,158595.0,-87.39
Indonesia,13734.0,0.93,70819.0,-80.61
Russian Federation,12643.0,0.85,36111.0,-64.99
Hong Kong,12444.0,0.84,91653.0,-86.42
Vietnam,11406.0,0.77,66698.0,-82.9
Thailand,9788.0,0.66,61292.0,-84.03
Spain,9621.0,0.65,49748.0,-80.66
Italy,8976.0,0.61,38951.0,-76.96
Netherlands,8961.0,0.6,41313.0,-78.31
Switzerland,7094.0,0.48,29966.0,-76.33
Saudi Arabia,7014.0,0.47,43748.0,-83.97
Sweden,6996.0,0.47,27892.0,-74.92
New Zealand,6883.0,0.46,37872.0,-81.83
Poland,5429.0,0.37,15816.0,-65.67
Denmark,4848.0,0.33,18535.0,-73.84
Israel,4745.0,0.32,22851.0,-79.24
Commonwealth of Independent States,4644.0,0.31,12048.0,-61.45
Norway,4365.0,0.29,23464.0,-81.4
Austria,3875.0,0.26,14840.0,-73.89
Belgium,3756.0,0.25,19156.0,-80.39
Ireland,3621.0,0.24,21475.0,-83.14
Turkey,3619.0,0.24,8654.0,-58.18
Guam,2882.0,0.19,19835.0,-85.47
Myanmar,2877.0,0.19,13978.0,-79.42
Brazil,2750.0,0.19,10035.0,-72.6
United Arab Emirates,2518.0,0.17,10192.0,-75.29
South Africa,2159.0,0.15,8553.0,-74.76
Finland,2135.0,0.14,8420.0,-74.64
Portugal,2072.0,0.14,8113.0,-74.46
Papua New Guinea,1434.0,0.1,8828.0,-83.76
Argentina,1432.0,0.1,3643.0,-60.69
Pakistan,1340.0,0.09,5793.0,-76.87
Greece,1325.0,0.09,3849.0,-65.58
Bangladesh,1217.0,0.08,6630.0,-81.64
Egypt,1213.0,0.08,3210.0,-62.21
Kuwait,1171.0,0.08,6309.0,-81.44
Sri Lanka,1117.0,0.08,6412.0,-82.58
Bahrain,1094.0,0.07,3296.0,-66.81
Nigeria,1042.0,0.07,3439.0,-69.7
Brunei,1037.0,0.07,8126.0,-87.24
Qatar,987.0,0.07,2491.0,-60.38
Mexico,983.0,0.07,5154.0,-80.93
Cambodia,942.0,0.06,5988.0,-84.27
Nepal,940.0,0.06,6018.0,-84.38
Macau,789.0,0.05,8429.0,-90.64
Colombia,722.0,0.05,3386.0,-78.68
Oman,700.0,0.05,2526.0,-72.29
Iran,411.0,0.03,2290.0,-82.05
Jordan,397.0,0.03,1931.0,-79.44
Peru,350.0,0.02,1660.0,-78.92
Laos,203.0,0.01,1454.0,-86.04
Venezuela,185.0,0.01,702.0,-73.65
Luxembourg,156.0,0.01,837.0,-81.36
Andorra,8.0,0.0,25.0,-68.0
Nauru,5.0,0.0,93.0,-94.62
