"year","country","total_visitors"
2015,Andorra,329
2015,Argentina,1745
2015,Australia,241187
2015,Austria,12267
2015,Bahrain,3562
2015,Bangladesh,4664
2015,Belgium,12825
2015,Brazil,3495
2015,Brunei,9015
2015,Cambodia,3503
2015,Canada,156363
2015,China,490841
2015,Colombia,1228
2015,Denmark,15269
2015,Egypt,1630
2015,Finland,6548
2015,France,45505
2015,Germany,75348
2015,Greece,2386
2015,Guam,35262
2015,Hong Kong,122180
2015,India,74824
2015,Indonesia,48178
2015,Iran,2505
2015,Ireland,14050
2015,Israel,11756
2015,Italy,21620
2015,Japan,495662
2015,Jordan,677
2015,Korea,1339678
2015,Kuwait,5440
2015,Laos,1231
2015,Luxembourg,687
2015,Macau,10160
2015,Malaysia,155814
2015,Mexico,3145
2015,Myanmar,7033
2015,Nauru,20
2015,Nepal,2908
2015,Netherlands,28632
2015,New Zealand,20579
2015,Nigeria,1430
2015,Norway,20968
2015,Pakistan,4346
2015,Papua New Guinea,5910
2015,Peru,561
2015,Poland,8030
2015,Portugal,2206
2015,Qatar,4472
2015,Residences,49074
2015,Russian Federation,25278
2015,Saudi Arabia,50884
2015,Singapore,181176
2015,South Africa,4570
2015,Spain,24144
2015,Sri Lanka,5292
2015,Sweden,23206
2015,Switzerland,27200
2015,Taiwan,177670
2015,Thailand,44038
2015,Turkey,6026
2015,United Arab Emirates,16881
2015,United Kingdom,154589
2015,Usa,779217
2015,Venezuela,221
2015,Vietnam,31579
2016,Andorra,364
2016,Argentina,2369
2016,Australia,251098
2016,Austria,13087
2016,Bahrain,3689
2016,Bangladesh,4516
2016,Belgium,14477
2016,Brazil,4520
2016,Brunei,8211
2016,Cambodia,3526
2016,Canada,175631
2016,China,675663
2016,Colombia,1431
2016,Denmark,18049
2016,Egypt,1985
2016,Finland,6318
2016,France,55384
2016,Germany,86363
2016,Greece,2483
2016,Guam,38777
2016,Hong Kong,116328
2016,India,90816
2016,Indonesia,44348
2016,Iran,2720
2016,Ireland,16557
2016,Israel,16725
2016,Italy,25945
2016,Japan,535238
2016,Jordan,718
2016,Korea,1475081
2016,Kuwait,6649
2016,Laos,1173
2016,Luxembourg,833
2016,Macau,9247
2016,Malaysia,139133
2016,Mexico,2924
2016,Myanmar,7442
2016,Nauru,17
2016,Nepal,3449
2016,Netherlands,31876
2016,New Zealand,23431
2016,Nigeria,1489
2016,Norway,21606
2016,Pakistan,4256
2016,Papua New Guinea,7738
2016,Peru,581
2016,Poland,8893
2016,Portugal,2999
2016,Qatar,4745
2016,Residences,57226
2016,Russian Federation,28210
2016,Saudi Arabia,56081
2016,Singapore,176057
2016,South Africa,5117
2016,Spain,32097
2016,Sri Lanka,5410
2016,Sweden,26062
2016,Switzerland,29420
2016,Taiwan,229303
2016,Thailand,47913
2016,Turkey,7884
2016,United Arab Emirates,17634
2016,United Kingdom,173299
2016,Usa,869463
2016,Venezuela,271
2016,Vietnam,33895
2017,Andorra,357
2017,Argentina,3157
2017,Australia,259433
2017,Austria,13524
2017,Bahrain,3795
2017,Bangladesh,4591
2017,Belgium,15703
2017,Brazil,6114
2017,Brunei,8679
2017,Cambodia,4712
2017,Canada,200640
2017,China,968447
2017,Colombia,1747
2017,Denmark,18445
2017,Egypt,2000
2017,Finland,6958
2017,France,64777
2017,Germany,85431
2017,Greece,3165
2017,Guam,36637
2017,Hong Kong,111135
2017,India,107278
2017,Indonesia,62923
2017,Iran,2598
2017,Ireland,18051
2017,Israel,17446
2017,Italy,30437
2017,Japan,584180
2017,Jordan,745
2017,Korea,1607821
2017,Kuwait,8082
2017,Laos,1580
2017,Luxembourg,722
2017,Macau,9111
2017,Malaysia,143566
2017,Mexico,5744
2017,Myanmar,9571
2017,Nauru,16
2017,Nepal,5328
2017,Netherlands,33821
2017,New Zealand,28983
2017,Nigeria,1558
2017,Norway,21890
2017,Pakistan,4369
2017,Papua New Guinea,8110
2017,Peru,1008
2017,Poland,10786
2017,Portugal,4189
2017,Qatar,4195
2017,Residences,61954
2017,Russian Federation,33279
2017,Saudi Arabia,54716
2017,Singapore,168637
2017,South Africa,6471
2017,Spain,36954
2017,Sri Lanka,5343
2017,Sweden,27703
2017,Switzerland,29837
2017,Taiwan,236777
2017,Thailand,48727
2017,Turkey,8408
2017,United Arab Emirates,16399
2017,United Kingdom,182708
2017,Usa,957813
2017,Venezuela,257
2017,Vietnam,39951
2018,Andorra,273
2018,Argentina,3468
2018,Australia,279828
2018,Austria,14193
2018,Bahrain,3638
2018,Bangladesh,5495
2018,Belgium,17285
2018,Brazil,7364
2018,Brunei,9533
2018,Cambodia,4154
2018,Canada,226446
2018,China,1257962
2018,Colombia,2389
2018,Denmark,17884
2018,Egypt,2155
2018,Finland,7219
2018,France,74400
2018,Germany,92098
2018,Greece,3453
2018,Guam,32357
2018,Hong Kong,117992
2018,India,121124
2018,Indonesia,76652
2018,Iran,2456
2018,Ireland,20051
2018,Israel,20343
2018,Italy,35182
2018,Japan,631821
2018,Jordan,1129
2018,Korea,1624251
2018,Kuwait,6448
2018,Laos,1183
2018,Luxembourg,930
2018,Macau,9336
2018,Malaysia,145246
2018,Mexico,4248
