"country","year","total_visitors","rank"
Korea,2015,1339678,1
Usa,2015,779217,2
Japan,2015,495662,3
China,2015,490841,4
Australia,2015,241187,5
Singapore,2015,181176,6
Taiwan,2015,177670,7
Canada,2015,156363,8
Malaysia,2015,155814,9
United Kingdom,2015,154589,10
Korea,2016,1475081,1
Usa,2016,869463,2
China,2016,675663,3
Japan,2016,535238,4
Australia,2016,251098,5
Taiwan,2016,229303,6
Singapore,2016,176057,7
Canada,2016,175631,8
United Kingdom,2016,173299,9
Malaysia,2016,139133,10
Korea,2017,1607821,1
China,2017,968447,2
Usa,2017,957813,3
Japan,2017,584180,4
Australia,2017,259433,5
Taiwan,2017,236777,6
Canada,2017,200640,7
United Kingdom,2017,182708,8
Singapore,2017,168637,9
Malaysia,2017,143566,10
Korea,2018,1624251,1
China,2018,1257962,2
Usa,2018,1034471,3
Japan,2018,631821,4
Australia,2018,279828,5
Taiwan,2018,242411,6
Canada,2018,226446,7
United Kingdom,2018,201044,8
Singapore,2018,171796,9
Malaysia,2018,145246,10
Korea,2019,1989322,1
China,2019,1743309,2
Usa,2019,1064440,3
Japan,2019,682788,4
Taiwan,2019,327273,5
Australia,2019,286170,6
Canada,2019,238850,7
United Kingdom,2019,209206,8
Singapore,2019,158595,9
Malaysia,2019,139882,10
Korea,2020,338877,1
Usa,2020,211816,2
China,2020,170432,3
Japan,2020,136664,4
Australia,2020,55330,5
Canada,2020,55273,6
Taiwan,2020,48644,7
United Kingdom,2020,39980,8
India,2020,29014,9
Germany,2020,25893,10
Usa,2021,39326,1
Japan,2021,15024,2
China,2021,9674,3
Residences,2021,8568,4
India,2021,7202,5
Canada,2021,6781,6
Korea,2021,6456,7
Turkey,2021,4374,8
United Kingdom,2021,4348,9
United Arab Emirates,2021,2733,10
Usa,2022,505089,1
South Korea,2022,428014,2
Australia,2022,137974,3
Canada,2022,121413,4
United Kingdom,2022,101034,5
Japan,2022,99557,6
Singapore,2022,53448,7
India,2022,51542,8
Malaysia,2022,46805,9
China,2022,39627,10
South Korea,2023,1450858,1
Usa,2023,903299,2
Japan,2023,305580,3
Australia,2023,266551,4
China,2023,263836,5
Canada,2023,221920,6
Taiwan,2023,194851,7
United Kingdom,2023,154698,8
Singapore,2023,149230,9
Malaysia,2023,97639,10
South Korea,2024,1569071,1
Usa,2024,947891,2
Japan,2024,388316,3
China,2024,312222,4
Australia,2024,272215,5
Canada,2024,223944,6
Taiwan,2024,208736,7
United Kingdom,2024,160296,8
Singapore,2024,157264,9
Malaysia,2024,95713,10
South Korea,2025,955699,1
Usa,2025,743998,2
Japan,2025,344513,3
Australia,2025,217209,4
China,2025,202738,5
Canada,2025,187189,6
Taiwan,2025,149959,7
United Kingdom,2025,126301,8
Singapore,2025,115374,9
Malaysia,2025,71191,10
