,country,year,total_visitors,rank
0,South Korea,2015,1339678,1
1,Usa,2015,779217,2
2,Japan,2015,495662,3
3,China,2015,490841,4
4,Australia,2015,241187,5
5,Singapore,2015,181176,6
6,Taiwan,2015,177670,7
7,Canada,2015,156363,8
8,Malaysia,2015,155814,9
9,United Kingdom,2015,154589,10
10,South Korea,2016,1475081,1
11,Usa,2016,869463,2
12,China,2016,675663,3
13,Japan,2016,535238,4
14,Australia,2016,251098,5
15,Taiwan,2016,229303,6
16,Singapore,2016,176057,7
17,Canada,2016,175631,8
18,United Kingdom,2016,173299,9
19,Malaysia,2016,139133,10
20,South Korea,2017,1607821,1
21,China,2017,968447,2
22,Usa,2017,957813,3
23,Japan,2017,584180,4
24,Australia,2017,259433,5
25,Taiwan,2017,236777,6
26,Canada,2017,200640,7
27,United Kingdom,2017,182708,8
28,Singapore,2017,168637,9
29,Malaysia,2017,143566,10
30,South Korea,2018,1624251,1
31,China,2018,1257962,2
32,Usa,2018,1034471,3
33,Japan,2018,631821,4
34,Australia,2018,279828,5
35,Taiwan,2018,242411,6
36,Canada,2018,226446,7
37,United Kingdom,2018,201044,8
38,Singapore,2018,171796,9
39,Malaysia,2018,145246,10
40,South Korea,2019,1989322,1
41,China,2019,1743309,2
42,Usa,2019,1064440,3
43,Japan,2019,682788,4
44,Taiwan,2019,327273,5
45,Australia,2019,286170,6
46,Canada,2019,238850,7
47,United Kingdom,2019,209206,8
48,Singapore,2019,158595,9
49,Malaysia,2019,139882,10
50,South Korea,2020,338877,1
51,Usa,2020,211816,2
52,China,2020,170432,3
53,Japan,2020,136664,4
54,Australia,2020,55330,5
55,Canada,2020,55273,6
56,Taiwan,2020,48644,7
57,United Kingdom,2020,39980,8
58,India,2020,29014,9
59,Germany,2020,25893,10
60,Usa,2021,39326,1
61,Japan,2021,15024,2
62,China,2021,9674,3
63,Residences,2021,8568,4
64,India,2021,7202,5
65,Canada,2021,6781,6
66,South Korea,2021,6456,7
67,Turkey,2021,4374,8
68,United Kingdom,2021,4348,9
69,United Arab Emirates,2021,2733,10
70,Usa,2022,505089,1
71,South Korea,2022,428014,2
72,Australia,2022,137974,3
73,Canada,2022,121413,4
74,United Kingdom,2022,101034,5
75,Japan,2022,99557,6
76,Singapore,2022,53448,7
77,India,2022,51542,8
78,Malaysia,2022,46805,9
79,China,2022,39627,10
80,South Korea,2023,1450858,1
81,Usa,2023,903299,2
82,Japan,2023,305580,3
83,Australia,2023,266551,4
84,China,2023,263836,5
85,Canada,2023,221920,6
86,Taiwan,2023,194851,7
87,United Kingdom,2023,154698,8
88,Singapore,2023,149230,9
89,Malaysia,2023,97639,10
90,South Korea,2024,1569071,1
91,Usa,2024,947891,2
92,Japan,2024,388316,3
93,China,2024,312222,4
94,Australia,2024,272215,5
95,Canada,2024,223944,6
96,Taiwan,2024,208736,7
97,United Kingdom,2024,160296,8
98,Singapore,2024,157264,9
99,Malaysia,2024,95713,10
100,South Korea,2025,1134108,1
101,Usa,2025,894835,2
102,Japan,2025,406794,3
103,Australia,2025,268892,4
104,China,2025,248339,5
105,Canada,2025,230509,6
106,Taiwan,2025,182664,7
107,United Kingdom,2025,152344,8
108,Singapore,2025,141091,9
109,Malaysia,2025,87142,10
